id,ATL198606300
version,1
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1986/06/30
info,number,0
info,starttime,0:00PM
info,daynight,night
info,usedh,false
info,umphome,monte901
info,ump1b,ripps901
info,ump2b,brocf901
info,ump3b,weyel901
info,scorer,"S Copley"
info,inputter,"John Stryker"
info,howscored,unknown
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,156
info,attendance,21094
info,wp,mahlr001
info,lp,davim001
info,save,
info,gwrbi,virgo001
id,ATL198607010
version,1
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1986/07/01
info,number,0
info,starttime,0:00PM
info,daynight,night
info,usedh,false
info,umphome,ripps901
info,ump1b,brocf901
info,ump2b,weyel901
info,ump3b,monte901
info,scorer,"W Townsend"
info,inputter,"John Stryker"
info,howscored,unknown
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,200
info,attendance,17376
info,wp,robij001
info,lp,johnj003
info,save,
info,gwrbi,maldc001
id,ATL198607020
version,1
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1986/07/02
info,number,0
info,starttime,0:00PM
info,daynight,night
info,usedh,false
info,umphome,brocf901
info,ump1b,weyel901
info,ump2b,monte901
info,ump3b,ripps901
info,scorer,"W Townsend"
info,inputter,"John Stryker"
info,howscored,unknown
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,overcast
info,timeofgame,145
info,attendance,16649
info,wp,smitz001
info,lp,garrs001
info,save,
info,gwrbi,hubbg001
id,ATL198608080
version,1
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1986/08/08
info,number,0
info,starttime,0:00PM
info,daynight,night
info,usedh,false
info,umphome,crawj901
info,ump1b,willc901
info,ump2b,wendh901
info,ump3b,tatat901
info,scorer,"Saltz"
info,inputter,"Zminda"
info,howscored,unknown
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,165
info,attendance,24181
info,wp,alexd001
info,lp,lacom001
info,save,garbg001
info,gwrbi,murpd001
id,ATL198608090
version,1
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1986/08/09
info,number,0
info,starttime,0:00PM
info,daynight,night
info,usedh,false
info,umphome,willc901
info,ump1b,wendh901
info,ump2b,tatat901
info,ump3b,crawj901
info,scorer,"Kraemer"
info,inputter,"Zminda"
info,howscored,unknown
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,213
info,attendance,31610
info,wp,garrs001
info,lp,dedmj001
info,save,
info,gwrbi,maldc001
id,ATL198608100
version,1
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1986/08/10
info,number,0
info,starttime,0:00PM
info,daynight,day
info,usedh,false
info,umphome,wendh901
info,ump1b,tatat901
info,ump2b,crawj901
info,ump3b,willc901
info,scorer,"Saltz"
info,inputter,"Zminda"
info,howscored,unknown
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,159
info,attendance,17695
info,wp,berej001
info,lp,garbg001
info,save,garrs001
info,gwrbi,spilh001
id,ATL198609190
version,1
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1986/09/19
info,number,0
info,starttime,0:00PM
info,daynight,night
info,usedh,false
info,umphome,palld901
info,ump1b,ripps901
info,ump2b,engeb901
info,ump3b,rungp901
info,scorer,"Luke Kraemer"
info,inputter,"Steve Kolk"
info,howscored,unknown
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,161
info,attendance,8279
info,wp,downk001
info,lp,mahlr001
info,save,robij001
info,gwrbi,
id,ATL198609200
version,1
info,visteam,SFN
info,hometeam,ATL
info,site,ATL01
info,date,1986/09/20
info,number,0
info,starttime,0:00PM
info,daynight,day
info,usedh,false
info,umphome,ripps901
info,ump1b,engeb901
info,ump2b,rungp901
info,ump3b,palld901
info,scorer,"Luke Kraemer"
info,inputter,"Steve Kolk"
info,howscored,unknown
info,pitches,none
info,temp,0
info,winddir,unknown
