id,SFN195804150
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,LAN
info,hometeam,SFN
info,site,SFO01
info,date,1958/04/15
info,number,0
info,starttime,0:00PM
info,daynight,day
info,usedh,false
info,umphome,conlj102
info,ump1b,secof101
info,ump2b,dixoh901
info,ump3b,venzt901
info,scorer,"Dick Young"
info,translator,"David W. Smith"
info,inputter,"David W. Smith"
info,inputtime,1994/12/11 3:32PM
info,howscored,park
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,149
info,attendance,23448
info,wp,gomer101
info,lp,drysd101
info,save,
info,gwrbi,
id,SFN195804160
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,LAN
info,hometeam,SFN
info,site,SFO01
info,date,1958/04/16
info,number,0
info,starttime,0:00PM
info,daynight,night
info,usedh,false
info,umphome,secof101
info,ump1b,dixoh901
info,ump2b,venzt901
info,ump3b,conlj102
info,scorer,"Allan Roth"
info,inputter,"Alan Boodman"
info,inputtime,1995/02/02 3:45PM
info,howscored,park
info,pitches,pitches
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,183
info,attendance,22735
info,wp,podrj101
info,lp,monzr101
info,save,
info,gwrbi,
id,SFN195804170
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,LAN
info,hometeam,SFN
info,site,SFO01
info,date,1958/04/17
info,number,0
info,starttime,0:00PM
info,daynight,day
info,usedh,false
info,umphome,dixoh901
info,ump1b,venzt901
info,ump2b,conlj102
info,ump3b,secof101
info,scorer,"Allan Roth"
info,inputter,"Alan Boodman"
info,inputtime,1995/02/02 4:20PM
info,howscored,park
info,pitches,pitches
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,170
info,attendance,12520
info,wp,barcc101
info,lp,newcd101
info,save,grism101
info,gwrbi,
id,SFN195804220
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,SLN
info,hometeam,SFN
info,site,SFO01
info,date,1958/04/22
info,number,0
info,starttime,0:00PM
info,daynight,night
info,usedh,false
info,umphome,donaa901
info,ump1b,dascf901
info,ump2b,smitv101
info,ump3b,craws901
info,scorer,"Bob Stevens"
info,inputter,"Alan Boodman"
info,inputtime,1995/02/03 8:42AM
info,howscored,unknown
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,180
info,attendance,22786
info,wp,mcdal101
info,lp,antoj103
info,save,muffb101
info,gwrbi,
id,SFN195804230
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,SLN
info,hometeam,SFN
info,site,SFO01
info,date,1958/04/23
info,number,0
info,starttime,0:00PM
info,daynight,day
info,usedh,false
info,umphome,craws901
info,ump1b,smitv101
info,ump2b,dascf901
info,ump3b,donaa901
info,scorer,"Bob Stevens"
info,inputter,"Alan Boodman"
info,inputtime,1995/02/03 10:25AM
info,howscored,unknown
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,181
info,attendance,14715
info,wp,grism101
info,lp,clarp101
info,save,
info,gwrbi,
id,SFN195804240
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,SLN
info,hometeam,SFN
info,site,SFO01
info,date,1958/04/24
info,number,0
info,starttime,0:00PM
info,daynight,day
info,usedh,false
info,umphome,smitv101
info,ump1b,dascf901
info,ump2b,donaa901
info,ump3b,craws901
info,scorer,"Bob Stevens"
info,inputter,"Alan Boodman"
info,inputtime,1995/02/03 12:07PM
info,howscored,unknown
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,200
info,attendance,13674
info,wp,cronr101
info,lp,muffb101
info,save,
info,gwrbi,
id,SFN195804250
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,CHN
info,hometeam,SFN
info,site,SFO01
info,date,1958/04/25
info,number,0
info,starttime,0:00PM
info,daynight,night
info,usedh,false
info,umphome,dascf901
info,ump1b,donaa901
info,ump2b,craws901
info,ump3b,smitv101
info,scorer,"Bob Stevens"
info,inputter,"Alan Boodman"
info,inputtime,1995/02/03 2:59PM
info,howscored,unknown
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,125
info,attendance,16870
info,wp,monzr101
info,lp,brosj101
info,save,
info,gwrbi,
id,SFN195804260
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,CHN
info,hometeam,SFN
info,site,SFO01
info,date,1958/04/26
info,number,0
info,starttime,0:00PM
info,daynight,day
info,usedh,false
info,umphome,donaa901
info,ump1b,craws901
info,ump2b,smitv101
info,ump3b,dascf901
info,scorer,"Bob Stevens"
info,inputter,"Alan Boodman"
info,inputtime,1995/02/03 3:09PM
info,howscored,unknown
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,126
info,attendance,19284
info,wp,antoj103
info,lp,hobbg101
info,save,
info,gwrbi,
id,SFN195804270
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,CHN
info,hometeam,SFN
info,site,SFO01
info,date,1958/04/27
info,number,0
info,starttime,0:00PM
info,daynight,day
info,usedh,false
info,umphome,craws901
info,ump1b,smitv101
info,ump2b,dascf901
info,ump3b,donaa901
info,scorer,"Bob Stevens"
info,inputter,"Alan Boodman"
info,inputtime,1995/02/03 5:19PM
info,howscored,unknown
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,156
info,attendance,22696
info,wp,elstd101
info,lp,grism101
info,save,rodrf101
info,gwrbi,
id,SFN195804290
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,PHI
info,hometeam,SFN
info,site,SFO01
info,date,1958/04/29
info,number,0
info,starttime,0:00PM
info,daynight,day
info,usedh,false
info,umphome,lands901
info,ump1b,delmv901
info,ump2b,barla901
info,ump3b,jackb901
info,scorer,"Bob Stevens"
info,inputtime,1995/02/03 8:45PM
info,howscored,unknown
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,169
info,attendance,6801
info,wp,simmc101
info,lp,monzr101
info,save,farrt101
info,gwrbi,
id,SFN195804300
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,PHI
info,hometeam,SFN
info,site,SFO01
info,date,1958/04/30
info,number,0
info,starttime,0:00PM
info,daynight,day
info,usedh,false
info,umphome,delmv901
info,ump1b,barla901
info,ump2b,jackb901
info,ump3b,lands901
info,scorer,"Bob Stevens"
info,inputtime,1995/02/04 8:28AM
info,howscored,unknown
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,133
info,attendance,7886
info,wp,antoj103
info,lp,rober102
info,save,
info,gwrbi,
id,SFN195805010
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,PHI
info,hometeam,SFN
info,site,SFO01
info,date,1958/05/01
info,number,0
info,starttime,0:00PM
info,daynight,day
info,usedh,false
info,umphome,barla901
info,ump1b,jackb901
info,ump2b,lands901
info,ump3b,delmv901
info,scorer,"Bob Stevens"
info,inputter,"Alan Boodman"
info,inputtime,1995/02/04 10:38AM
info,howscored,unknown
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,130
info,attendance,6728
info,wp,sempr101
info,lp,gomer101
info,save,
info,gwrbi,
id,SFN195805020
version,1
info,inputprogvers,"version 7RS(19) of 07/07/92"
info,visteam,PHI
info,hometeam,SFN
info,site,SFO01
info,date,1958/05/02
info,number,0
info,starttime,0:00PM
info,daynight,night
info,usedh,false
info,umphome,jackb901
info,ump1b,lands901
info,ump2b,delmv901
info,ump3b,barla901
info,scorer,"Bob Stevens"
info,inputter,"Alan Boodman"
info,inputtime,1995/02/04 10:46AM
info,howscored,unknown
info,pitches,none
info,temp,0
info,winddir,unknown
info,windspeed,-1
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,158
info,attendance,13486
info,wp,mccom103
